iter	Passed	Remaining
0	3	3534
1	7	3734
2	11	3671
3	15	3847
4	19	3814
5	23	3920
6	27	3918
7	32	3969
8	35	3937
9	39	3927
10	43	3898
11	47	3909
12	51	3937
13	55	3939
14	59	3906
15	63	3897
16	67	3881
17	70	3872
18	74	3868
19	80	3959
20	85	3966
21	89	3972
22	93	3983
23	98	4002
24	102	4003
25	106	3989
26	110	3992
27	114	3975
28	118	3953
29	121	3929
30	125	3914
31	128	3900
32	132	3884
33	136	3877
34	140	3863
35	144	3862
36	147	3849
37	151	3841
38	155	3829
39	159	3825
40	163	3817
41	167	3810
42	171	3814
43	175	3813
44	179	3804
45	182	3794
46	186	3781
47	190	3771
48	193	3761
49	197	3749
50	201	3741
51	204	3729
52	208	3726
53	212	3715
54	215	3708
55	219	3698
56	223	3696
57	227	3687
58	230	3680
59	234	3671
60	238	3665
61	241	3657
62	245	3649
63	248	3638
64	252	3629
65	256	3632
66	261	3635
67	265	3641
68	269	3642
69	273	3640
70	278	3641
71	282	3636
72	286	3633
73	290	3628
74	293	3622
75	297	3616
76	301	3609
77	305	3606
78	308	3601
79	312	3595
80	316	3590
81	320	3587
82	324	3582
83	327	3576
84	331	3570
85	335	3566
86	339	3560
87	343	3554
88	346	3549
89	350	3545
90	354	3540
91	358	3536
92	362	3531
93	365	3526
94	369	3524
95	373	3521
96	377	3516
97	383	3525
98	387	3528
99	391	3523
100	395	3520
101	399	3519
102	403	3515
103	407	3512
104	411	3509
105	415	3506
106	419	3501
107	423	3498
108	427	3494
109	431	3491
110	435	3485
111	438	3477
112	442	3472
113	445	3465
114	449	3461
115	453	3455
116	457	3449
117	460	3445
118	464	3439
119	468	3434
120	472	3428
121	477	3433
122	480	3429
123	484	3422
124	488	3419
125	492	3413
126	495	3408
127	499	3403
128	503	3398
129	506	3392
130	510	3387
131	514	3383
132	518	3380
133	522	3375
134	525	3368
135	529	3366
136	533	3361
137	537	3354
138	540	3349
139	544	3345
140	548	3341
141	551	3334
142	555	3329
143	559	3325
144	563	3323
145	567	3319
146	571	3316
147	575	3313
148	579	3311
149	583	3307
150	587	3303
151	591	3298
152	595	3296
153	599	3293
154	603	3288
155	607	3285
156	611	3283
157	615	3279
158	619	3275
159	623	3271
160	627	3268
161	631	3264
162	634	3260
163	638	3255
164	642	3253
165	646	3249
166	650	3245
167	654	3241
168	658	3238
169	662	3233
170	666	3229
171	669	3225
172	674	3223
173	677	3218
